Identificador;Nombres;Apellidos;Edad;E_mail;Ciudad;Juegos;Series;;;;;;;;
1134708790;marina;rojas;17;marinarojas@unal.edu.co;manizales;0;1;;;;;;;;
1134708791;luisa;ruiz;30;luisaruiz@unal.edu.co;manizales;0;1;;;;;;;;
1134708792;nicolas;martinez;37;nicolasmartinez@unal.edu.co;cartagena;0;1;;;;;;;;
1134708793;daniela;gonzalez;16;danielagonzalez@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708794;carlos;martinez;16;carlosmartinez@unal.edu.co;manizales;0;1;;;;;;;;
1134708795;alejandro;rodriguez;21;alejandrorodriguez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708796;jose;castro;43;josecastro@unal.edu.co;tunja;0;1;;;;;;;;
1134708797;alejandro;gomez;25;alejandrogomez@unal.edu.co;cartagena;0;1;;;;;;;;
1134708798;jose;sanchez;30;josesanchez@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134708799;sebastian;ramirez;35;sebastianramirez@unal.edu.co;manizales;1;0;;;;;;;;
1134708800;sandra;rojas;29;sandrarojas@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134708801;maria;rojas;37;mariarojas@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134708802;carlos;sanchez;30;carlossanchez@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134708803;luz;torres;42;luztorres@unal.edu.co;bogota;1;0;;;;;;;;
1134708804;luz;ortiz;30;luzortiz@unal.edu.co;bogota;1;0;;;;;;;;
1134708805;sebastian;diaz;26;sebastiandiaz@unal.edu.co;popayan;1;0;;;;;;;;
1134708806;nicolas;gomez;23;nicolasgomez@unal.edu.co;tunja;1;0;;;;;;;;
1134708807;marina;rodriguez;40;marinarodriguez@unal.edu.co;tunja;1;0;;;;;;;;
1134708808;jose;sanchez;20;josesanchez@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134708809;luis;gutierrez;29;luisgutierrez@unal.edu.co;cartagena;1;0;;;;;;;;
1134708810;ana;sanchez;37;anasanchez@unal.edu.co;tunja;1;0;;;;;;;;
1134708811;maria;ortiz;25;mariaortiz@unal.edu.co;villavicencio;1;0;;;;;;;;
1134708812;juan;ramirez;27;juanramirez@unal.edu.co;cali;1;0;;;;;;;;
1134708813;ana;martinez;22;anamartinez@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134708814;pedro;garcia;43;pedrogarcia@unal.edu.co;popayan;1;0;;;;;;;;
1134708815;santiago;rojas;24;santiagorojas@unal.edu.co;medellin;1;0;;;;;;;;
1134708816;ana;ruiz;17;anaruiz@unal.edu.co;barranquilla;1;0;;;;;;;;
1134708817;pedro;diaz;44;pedrodiaz@unal.edu.co;tunja;1;0;;;;;;;;
1134708818;alejandro;rodriguez;23;alejandrorodriguez@unal.edu.co;manizales;1;0;;;;;;;;
1134708819;carlos;ramirez;45;carlosramirez@unal.edu.co;barranquilla;1;0;;;;;;;;
1134708820;susana;moreno;30;susanamoreno@unal.edu.co;villavicencio;1;0;;;;;;;;
1134708821;samuel;gutierrez;36;samuelgutierrez@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134708822;santiago;rojas;34;santiagorojas@unal.edu.co;cartagena;1;0;;;;;;;;
1134708823;alejandro;rojas;28;alejandrorojas@unal.edu.co;bogota;1;0;;;;;;;;
1134708824;maria;ortiz;17;mariaortiz@unal.edu.co;bogota;1;0;;;;;;;;
1134708825;milena;ruiz;41;milenaruiz@unal.edu.co;manizales;1;0;;;;;;;;
1134708826;samuel;lopez;26;samuellopez@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134708827;daniela;gomez;43;danielagomez@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134708828;sebastian;ruiz;16;sebastianruiz@unal.edu.co;manizales;1;0;;;;;;;;
1134708829;liliana;vargas;34;lilianavargas@unal.edu.co;villavicencio;1;0;;;;;;;;
1134708830;nicolas;ortiz;26;nicolasortiz@unal.edu.co;popayan;1;0;;;;;;;;
1134708831;liliana;perez;28;lilianaperez@unal.edu.co;barranquilla;1;0;;;;;;;;
1134708832;carlos;perez;38;carlosperez@unal.edu.co;barranquilla;1;0;;;;;;;;
1134708833;sandra;ortiz;30;sandraortiz@unal.edu.co;manizales;1;0;;;;;;;;
1134708834;maria;ortiz;19;mariaortiz@unal.edu.co;cali;1;0;;;;;;;;
1134708835;susana;jimenez;28;susanajimenez@unal.edu.co;manizales;1;0;;;;;;;;
1134708836;marina;gonzalez;16;marinagonzalez@unal.edu.co;bogota;1;0;;;;;;;;
1134708837;liliana;castro;28;lilianacastro@unal.edu.co;cali;1;0;;;;;;;;
1134708838;liliana;gonzalez;34;lilianagonzalez@unal.edu.co;manizales;1;0;;;;;;;;
1134708839;susana;vargas;25;susanavargas@unal.edu.co;medellin;1;0;;;;;;;;
1134708840;pedro;martinez;27;pedromartinez@unal.edu.co;cartagena;1;0;;;;;;;;
1134708841;luz;martinez;40;luzmartinez@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134708842;susana;sanchez;18;susanasanchez@unal.edu.co;tunja;1;0;;;;;;;;
1134708843;samuel;rodriguez;24;samuelrodriguez@unal.edu.co;cali;1;0;;;;;;;;
1134708844;jose;perez;36;joseperez@unal.edu.co;tunja;1;0;;;;;;;;
1134708845;juan;lopez;24;juanlopez@unal.edu.co;bogota;1;0;;;;;;;;
1134708846;pedro;gomez;26;pedrogomez@unal.edu.co;manizales;1;0;;;;;;;;
1134708847;alejandro;diaz;20;alejandrodiaz@unal.edu.co;popayan;1;0;;;;;;;;
1134708848;luz;perez;34;luzperez@unal.edu.co;tunja;1;0;;;;;;;;
1134708849;pedro;ortiz;16;pedroortiz@unal.edu.co;cali;1;0;;;;;;;;
1134708850;alejandro;torres;41;alejandrotorres@unal.edu.co;cartagena;1;0;;;;;;;;
1134708851;jose;perez;24;joseperez@unal.edu.co;bogota;1;0;;;;;;;;
1134708852;carlos;rojas;39;carlosrojas@unal.edu.co;manizales;1;0;;;;;;;;
1134708853;luis;sanchez;24;luissanchez@unal.edu.co;popayan;1;0;;;;;;;;
1134708854;marina;jimenez;27;marinajimenez@unal.edu.co;villavicencio;1;0;;;;;;;;
1134708855;sebastian;lopez;33;sebastianlopez@unal.edu.co;manizales;1;0;;;;;;;;
1134708856;luis;garcia;35;luisgarcia@unal.edu.co;cali;1;0;;;;;;;;
1134708857;ana;moreno;22;anamoreno@unal.edu.co;popayan;1;0;;;;;;;;
1134708858;luisa;jimenez;38;luisajimenez@unal.edu.co;cartagena;1;0;;;;;;;;
1134708859;nicolas;lopez;29;nicolaslopez@unal.edu.co;manizales;1;0;;;;;;;;
1134708860;nicolas;garcia;28;nicolasgarcia@unal.edu.co;barranquilla;1;0;;;;;;;;
1134708861;luis;hernandez;38;luishernandez@unal.edu.co;villavicencio;1;0;;;;;;;;
1134708862;samuel;ortiz;20;samuelortiz@unal.edu.co;cali;1;0;;;;;;;;
1134708863;juan;ortiz;23;juanortiz@unal.edu.co;tunja;1;0;;;;;;;;
1134708864;ana;ortiz;21;anaortiz@unal.edu.co;cartagena;1;0;;;;;;;;
1134708865;sebastian;gonzalez;16;sebastiangonzalez@unal.edu.co;cartagena;1;0;;;;;;;;
1134708866;jose;hernandez;28;josehernandez@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134708867;alejandro;martinez;23;alejandromartinez@unal.edu.co;manizales;1;0;;;;;;;;
1134708868;luisa;diaz;44;luisadiaz@unal.edu.co;cartagena;1;0;;;;;;;;
1134708869;luisa;gutierrez;26;luisagutierrez@unal.edu.co;cartagena;1;0;;;;;;;;
1134708870;sandra;vargas;26;sandravargas@unal.edu.co;bogota;1;0;;;;;;;;
1134708871;juan;garcia;42;juangarcia@unal.edu.co;bogota;1;0;;;;;;;;
1134708872;juan;gonzalez;23;juangonzalez@unal.edu.co;cali;1;0;;;;;;;;
1134708873;marina;lopez;27;marinalopez@unal.edu.co;manizales;1;0;;;;;;;;
1134708874;carlos;perez;35;carlosperez@unal.edu.co;cartagena;1;0;;;;;;;;
1134708875;susana;moreno;44;susanamoreno@unal.edu.co;popayan;1;0;;;;;;;;
1134708876;sandra;rojas;32;sandrarojas@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134708877;alejandro;garcia;24;alejandrogarcia@unal.edu.co;cali;1;0;;;;;;;;
1134708878;luisa;perez;45;luisaperez@unal.edu.co;bogota;1;0;;;;;;;;
1134708879;marina;castro;42;marinacastro@unal.edu.co;tunja;1;0;;;;;;;;
1134708880;jose;castro;26;josecastro@unal.edu.co;bogota;1;0;;;;;;;;
1134708881;ana;garcia;34;anagarcia@unal.edu.co;tunja;1;0;;;;;;;;
1134708882;sebastian;ramirez;38;sebastianramirez@unal.edu.co;cartagena;1;0;;;;;;;;
1134708883;nicolas;ruiz;29;nicolasruiz@unal.edu.co;cali;1;0;;;;;;;;
1134708884;nicolas;gomez;16;nicolasgomez@unal.edu.co;medellin;1;0;;;;;;;;
1134708885;ana;rodriguez;28;anarodriguez@unal.edu.co;cartagena;1;0;;;;;;;;
1134708886;luisa;sanchez;24;luisasanchez@unal.edu.co;cali;1;0;;;;;;;;
1134708887;luisa;hernandez;41;luisahernandez@unal.edu.co;cartagena;1;0;;;;;;;;
1134708888;alejandro;castro;39;alejandrocastro@unal.edu.co;barranquilla;1;0;;;;;;;;
1134708889;marina;torres;26;marinatorres@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134708890;jose;lopez;39;joselopez@unal.edu.co;tunja;1;0;;;;;;;;
1134708891;santiago;ruiz;34;santiagoruiz@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134708892;milena;vargas;26;milenavargas@unal.edu.co;barranquilla;1;0;;;;;;;;
1134708893;marina;vargas;16;marinavargas@unal.edu.co;cartagena;1;0;;;;;;;;
1134708894;pedro;lopez;34;pedrolopez@unal.edu.co;manizales;1;0;;;;;;;;
1134708895;santiago;diaz;32;santiagodiaz@unal.edu.co;villavicencio;1;0;;;;;;;;
1134708896;maria;lopez;44;marialopez@unal.edu.co;villavicencio;1;0;;;;;;;;
1134708897;samuel;sanchez;44;samuelsanchez@unal.edu.co;cartagena;1;0;;;;;;;;
1134708898;nicolas;gutierrez;16;nicolasgutierrez@unal.edu.co;villavicencio;1;0;;;;;;;;
1134708899;marina;garcia;30;marinagarcia@unal.edu.co;popayan;1;0;;;;;;;;
1134708900;nicolas;ortiz;28;nicolasortiz@unal.edu.co;cali;1;0;;;;;;;;
1134708901;milena;castro;31;milenacastro@unal.edu.co;villavicencio;1;0;;;;;;;;
1134708902;pedro;jimenez;27;pedrojimenez@unal.edu.co;cartagena;1;0;;;;;;;;
1134708903;jose;ramirez;21;joseramirez@unal.edu.co;tunja;1;0;;;;;;;;
1134708904;alejandro;diaz;35;alejandrodiaz@unal.edu.co;barranquilla;1;0;;;;;;;;
1134708905;liliana;vargas;43;lilianavargas@unal.edu.co;villavicencio;1;0;;;;;;;;
1134708906;sebastian;rodriguez;34;sebastianrodriguez@unal.edu.co;cali;1;0;;;;;;;;
1134708907;daniela;rojas;29;danielarojas@unal.edu.co;tunja;1;0;;;;;;;;
1134708908;luz;rodriguez;18;luzrodriguez@unal.edu.co;tunja;1;0;;;;;;;;
1134708909;juan;jimenez;25;juanjimenez@unal.edu.co;cali;1;0;;;;;;;;
1134708910;luz;martinez;38;luzmartinez@unal.edu.co;cartagena;1;0;;;;;;;;
1134708911;maria;rodriguez;27;mariarodriguez@unal.edu.co;bogota;1;0;;;;;;;;
1134708912;jose;moreno;17;josemoreno@unal.edu.co;manizales;1;0;;;;;;;;
1134708913;ana;ruiz;38;anaruiz@unal.edu.co;cartagena;1;0;;;;;;;;
1134708914;milena;moreno;31;milenamoreno@unal.edu.co;bogota;1;0;;;;;;;;
1134708915;luz;rojas;41;luzrojas@unal.edu.co;cartagena;1;0;;;;;;;;
1134708916;sandra;moreno;44;sandramoreno@unal.edu.co;villavicencio;1;0;;;;;;;;
1134708917;nicolas;rodriguez;21;nicolasrodriguez@unal.edu.co;medellin;1;0;;;;;;;;
1134708918;luisa;jimenez;34;luisajimenez@unal.edu.co;barranquilla;1;0;;;;;;;;
1134708919;pedro;moreno;38;pedromoreno@unal.edu.co;manizales;1;0;;;;;;;;
1134708920;pedro;perez;41;pedroperez@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134708921;sandra;ramirez;28;sandraramirez@unal.edu.co;popayan;1;0;;;;;;;;
1134708922;santiago;vargas;22;santiagovargas@unal.edu.co;cartagena;1;0;;;;;;;;
1134708923;liliana;gutierrez;26;lilianagutierrez@unal.edu.co;medellin;1;0;;;;;;;;
1134708924;susana;castro;28;susanacastro@unal.edu.co;villavicencio;1;0;;;;;;;;
1134708925;luisa;gutierrez;23;luisagutierrez@unal.edu.co;villavicencio;1;0;;;;;;;;
1134708926;juan;lopez;41;juanlopez@unal.edu.co;medellin;1;0;;;;;;;;
1134708927;daniela;martinez;16;danielamartinez@unal.edu.co;bogota;1;0;;;;;;;;
1134708928;maria;garcia;28;mariagarcia@unal.edu.co;tunja;1;0;;;;;;;;
1134708929;liliana;jimenez;24;lilianajimenez@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134708930;daniela;diaz;24;danieladiaz@unal.edu.co;villavicencio;1;0;;;;;;;;
1134708931;samuel;ruiz;45;samuelruiz@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134708932;marina;vargas;37;marinavargas@unal.edu.co;medellin;1;0;;;;;;;;
1134708933;ana;perez;19;anaperez@unal.edu.co;cartagena;1;0;;;;;;;;
1134708934;sebastian;perez;20;sebastianperez@unal.edu.co;cartagena;1;0;;;;;;;;
1134708935;susana;ruiz;29;susanaruiz@unal.edu.co;cali;1;0;;;;;;;;
1134708936;milena;perez;30;milenaperez@unal.edu.co;villavicencio;1;0;;;;;;;;
1134708937;jose;sanchez;35;josesanchez@unal.edu.co;tunja;1;0;;;;;;;;
1134708938;liliana;rojas;26;lilianarojas@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134708939;maria;sanchez;26;mariasanchez@unal.edu.co;popayan;1;0;;;;;;;;
1134708940;luisa;gonzalez;38;luisagonzalez@unal.edu.co;villavicencio;1;0;;;;;;;;
1134708941;luis;diaz;30;luisdiaz@unal.edu.co;cali;1;0;;;;;;;;
1134708942;maria;jimenez;31;mariajimenez@unal.edu.co;cartagena;1;0;;;;;;;;
1134708943;maria;diaz;39;mariadiaz@unal.edu.co;tunja;1;0;;;;;;;;
1134708944;susana;perez;26;susanaperez@unal.edu.co;barranquilla;1;0;;;;;;;;
1134708945;luis;martinez;30;luismartinez@unal.edu.co;popayan;1;0;;;;;;;;
1134708946;jose;gonzalez;31;josegonzalez@unal.edu.co;villavicencio;1;0;;;;;;;;
1134708947;samuel;rodriguez;23;samuelrodriguez@unal.edu.co;bogota;1;0;;;;;;;;
1134708948;carlos;ortiz;44;carlosortiz@unal.edu.co;bogota;1;0;;;;;;;;
1134708949;carlos;perez;24;carlosperez@unal.edu.co;tunja;1;0;;;;;;;;
1134708950;luis;gutierrez;43;luisgutierrez@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134708951;nicolas;diaz;37;nicolasdiaz@unal.edu.co;bogota;1;0;;;;;;;;
1134708952;maria;rodriguez;43;mariarodriguez@unal.edu.co;cartagena;1;0;;;;;;;;
1134708953;luisa;perez;28;luisaperez@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134708954;luis;vargas;41;luisvargas@unal.edu.co;manizales;1;0;;;;;;;;
1134708955;ana;gonzalez;23;anagonzalez@unal.edu.co;popayan;1;0;;;;;;;;
1134708956;nicolas;sanchez;41;nicolassanchez@unal.edu.co;popayan;1;0;;;;;;;;
1134708957;alejandro;gomez;20;alejandrogomez@unal.edu.co;medellin;1;0;;;;;;;;
1134708958;alejandro;lopez;23;alejandrolopez@unal.edu.co;bogota;1;0;;;;;;;;
1134708959;milena;torres;18;milenatorres@unal.edu.co;villavicencio;1;0;;;;;;;;
1134708960;luis;garcia;18;luisgarcia@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134708961;susana;hernandez;31;susanahernandez@unal.edu.co;medellin;1;0;;;;;;;;
1134708962;jose;sanchez;26;josesanchez@unal.edu.co;barranquilla;1;0;;;;;;;;
1134708963;sebastian;jimenez;31;sebastianjimenez@unal.edu.co;villavicencio;1;0;;;;;;;;
1134708964;sandra;garcia;21;sandragarcia@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134708965;juan;castro;19;juancastro@unal.edu.co;popayan;1;0;;;;;;;;
1134708966;luisa;hernandez;23;luisahernandez@unal.edu.co;cali;1;0;;;;;;;;
1134708967;jose;gomez;39;josegomez@unal.edu.co;cartagena;1;0;;;;;;;;
1134708968;maria;hernandez;40;mariahernandez@unal.edu.co;medellin;1;0;;;;;;;;
1134708969;luisa;rodriguez;41;luisarodriguez@unal.edu.co;manizales;1;0;;;;;;;;
1134708970;jose;torres;40;josetorres@unal.edu.co;popayan;1;0;;;;;;;;
1134708971;milena;torres;36;milenatorres@unal.edu.co;cali;1;0;;;;;;;;
1134708972;sebastian;torres;18;sebastiantorres@unal.edu.co;tunja;1;0;;;;;;;;
1134708973;liliana;martinez;24;lilianamartinez@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134708974;luis;perez;32;luisperez@unal.edu.co;bogota;1;0;;;;;;;;
1134708975;marina;rodriguez;33;marinarodriguez@unal.edu.co;tunja;1;0;;;;;;;;
1134708976;liliana;diaz;30;lilianadiaz@unal.edu.co;manizales;1;0;;;;;;;;
1134708977;jose;martinez;19;josemartinez@unal.edu.co;popayan;1;0;;;;;;;;
1134708978;santiago;moreno;25;santiagomoreno@unal.edu.co;bogota;1;0;;;;;;;;
1134708979;luis;gonzalez;26;luisgonzalez@unal.edu.co;cali;1;0;;;;;;;;
1134708980;nicolas;jimenez;33;nicolasjimenez@unal.edu.co;cartagena;1;0;;;;;;;;
1134708981;ana;gonzalez;23;anagonzalez@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134708982;maria;gonzalez;32;mariagonzalez@unal.edu.co;villavicencio;1;0;;;;;;;;
1134708983;maria;lopez;20;marialopez@unal.edu.co;cartagena;1;0;;;;;;;;
1134708984;sandra;diaz;33;sandradiaz@unal.edu.co;manizales;1;0;;;;;;;;
1134708985;samuel;vargas;19;samuelvargas@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134708986;daniela;rodriguez;43;danielarodriguez@unal.edu.co;villavicencio;1;0;;;;;;;;
1134708987;daniela;ortiz;24;danielaortiz@unal.edu.co;popayan;1;0;;;;;;;;
1134708988;luz;perez;26;luzperez@unal.edu.co;villavicencio;1;0;;;;;;;;
1134708989;santiago;martinez;19;santiagomartinez@unal.edu.co;barranquilla;1;0;;;;;;;;
1134708990;nicolas;martinez;34;nicolasmartinez@unal.edu.co;medellin;1;0;;;;;;;;
1134708991;luis;vargas;26;luisvargas@unal.edu.co;barranquilla;1;0;;;;;;;;
1134708992;luz;rojas;19;luzrojas@unal.edu.co;medellin;1;0;;;;;;;;
1134708993;sandra;diaz;28;sandradiaz@unal.edu.co;bogota;1;0;;;;;;;;
1134708994;daniela;hernandez;30;danielahernandez@unal.edu.co;popayan;1;0;;;;;;;;
1134708995;pedro;martinez;40;pedromartinez@unal.edu.co;popayan;1;0;;;;;;;;
1134708996;luz;castro;36;luzcastro@unal.edu.co;popayan;1;0;;;;;;;;
1134708997;sebastian;vargas;18;sebastianvargas@unal.edu.co;villavicencio;1;0;;;;;;;;
1134708998;susana;rojas;41;susanarojas@unal.edu.co;tunja;1;0;;;;;;;;
1134708999;sebastian;gomez;19;sebastiangomez@unal.edu.co;villavicencio;1;0;;;;;;;;
1134709000;marina;castro;32;marinacastro@unal.edu.co;bogota;1;0;;;;;;;;
1134709001;nicolas;ruiz;27;nicolasruiz@unal.edu.co;cali;1;0;;;;;;;;
1134709002;alejandro;torres;19;alejandrotorres@unal.edu.co;cartagena;1;0;;;;;;;;
1134709003;daniela;moreno;29;danielamoreno@unal.edu.co;popayan;1;0;;;;;;;;
1134709004;sandra;perez;27;sandraperez@unal.edu.co;villavicencio;1;0;;;;;;;;
1134709005;luz;gomez;40;luzgomez@unal.edu.co;barranquilla;1;0;;;;;;;;
1134709006;susana;castro;30;susanacastro@unal.edu.co;manizales;1;0;;;;;;;;
1134709007;luz;gomez;31;luzgomez@unal.edu.co;manizales;1;0;;;;;;;;
1134709008;carlos;rojas;22;carlosrojas@unal.edu.co;cali;1;0;;;;;;;;
1134709009;juan;rodriguez;25;juanrodriguez@unal.edu.co;cartagena;1;0;;;;;;;;
1134709010;alejandro;moreno;40;alejandromoreno@unal.edu.co;manizales;1;0;;;;;;;;
1134709011;liliana;martinez;29;lilianamartinez@unal.edu.co;medellin;1;0;;;;;;;;
1134709012;ana;rodriguez;26;anarodriguez@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134709013;pedro;vargas;16;pedrovargas@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134709014;luisa;jimenez;27;luisajimenez@unal.edu.co;popayan;1;0;;;;;;;;
1134709015;alejandro;vargas;32;alejandrovargas@unal.edu.co;villavicencio;1;0;;;;;;;;
1134709016;jose;diaz;16;josediaz@unal.edu.co;manizales;1;0;;;;;;;;
1134709017;samuel;torres;39;samueltorres@unal.edu.co;villavicencio;1;0;;;;;;;;
1134709018;liliana;lopez;41;lilianalopez@unal.edu.co;popayan;1;0;;;;;;;;
1134709019;luz;ortiz;28;luzortiz@unal.edu.co;bogota;1;0;;;;;;;;
1134709020;samuel;sanchez;32;samuelsanchez@unal.edu.co;manizales;1;0;;;;;;;;
1134709021;sebastian;garcia;24;sebastiangarcia@unal.edu.co;medellin;1;0;;;;;;;;
1134709022;juan;rojas;42;juanrojas@unal.edu.co;medellin;1;0;;;;;;;;
1134709023;luis;gutierrez;45;luisgutierrez@unal.edu.co;popayan;1;0;;;;;;;;
1134709024;carlos;perez;40;carlosperez@unal.edu.co;cali;1;0;;;;;;;;
1134709025;ana;martinez;43;anamartinez@unal.edu.co;popayan;1;0;;;;;;;;
1134709026;sebastian;garcia;22;sebastiangarcia@unal.edu.co;bogota;1;0;;;;;;;;
1134709027;sebastian;vargas;42;sebastianvargas@unal.edu.co;cali;1;0;;;;;;;;
1134709028;alejandro;perez;33;alejandroperez@unal.edu.co;bogota;1;0;;;;;;;;
1134709029;daniela;sanchez;17;danielasanchez@unal.edu.co;barranquilla;1;0;;;;;;;;
1134709030;ana;gutierrez;29;anagutierrez@unal.edu.co;villavicencio;1;0;;;;;;;;
1134709031;susana;gutierrez;28;susanagutierrez@unal.edu.co;tunja;1;0;;;;;;;;
1134709032;maria;moreno;23;mariamoreno@unal.edu.co;popayan;1;0;;;;;;;;
1134709033;susana;hernandez;17;susanahernandez@unal.edu.co;cali;1;0;;;;;;;;
1134709034;sebastian;gomez;25;sebastiangomez@unal.edu.co;barranquilla;1;0;;;;;;;;
1134709035;jose;torres;35;josetorres@unal.edu.co;villavicencio;1;0;;;;;;;;
1134709036;luz;ramirez;31;luzramirez@unal.edu.co;villavicencio;1;0;;;;;;;;
1134709037;alejandro;torres;40;alejandrotorres@unal.edu.co;cali;1;0;;;;;;;;
1134709038;juan;moreno;42;juanmoreno@unal.edu.co;medellin;1;0;;;;;;;;
1134709039;pedro;rodriguez;31;pedrorodriguez@unal.edu.co;medellin;1;0;;;;;;;;
1134709040;jose;ramirez;35;joseramirez@unal.edu.co;manizales;1;0;;;;;;;;
1134709041;luis;garcia;22;luisgarcia@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134709042;ana;gomez;37;anagomez@unal.edu.co;bogota;1;0;;;;;;;;
1134709043;luis;rodriguez;24;luisrodriguez@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134709044;marina;castro;21;marinacastro@unal.edu.co;bogota;1;0;;;;;;;;
1134709045;pedro;gutierrez;24;pedrogutierrez@unal.edu.co;cartagena;1;0;;;;;;;;
1134709046;samuel;torres;21;samueltorres@unal.edu.co;cali;1;0;;;;;;;;
1134709047;pedro;jimenez;37;pedrojimenez@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134709048;pedro;rodriguez;30;pedrorodriguez@unal.edu.co;cali;1;0;;;;;;;;
1134709049;luz;rodriguez;41;luzrodriguez@unal.edu.co;tunja;1;0;;;;;;;;
1134709050;luz;sanchez;39;luzsanchez@unal.edu.co;medellin;1;0;;;;;;;;
1134709051;maria;diaz;27;mariadiaz@unal.edu.co;manizales;1;0;;;;;;;;
1134709052;milena;sanchez;23;milenasanchez@unal.edu.co;popayan;1;0;;;;;;;;
1134709053;liliana;vargas;16;lilianavargas@unal.edu.co;cartagena;1;0;;;;;;;;
1134709054;pedro;ruiz;26;pedroruiz@unal.edu.co;tunja;1;0;;;;;;;;
1134709055;santiago;castro;38;santiagocastro@unal.edu.co;tunja;1;0;;;;;;;;
1134709056;sandra;sanchez;28;sandrasanchez@unal.edu.co;tunja;1;0;;;;;;;;
1134709057;susana;sanchez;26;susanasanchez@unal.edu.co;barranquilla;1;0;;;;;;;;
1134709058;liliana;martinez;35;lilianamartinez@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134709059;ana;torres;37;anatorres@unal.edu.co;manizales;1;0;;;;;;;;
1134709060;milena;rodriguez;26;milenarodriguez@unal.edu.co;medellin;1;0;;;;;;;;
1134709061;alejandro;gomez;21;alejandrogomez@unal.edu.co;manizales;1;0;;;;;;;;
1134709062;pedro;gonzalez;18;pedrogonzalez@unal.edu.co;tunja;1;0;;;;;;;;
1134709063;sebastian;sanchez;23;sebastiansanchez@unal.edu.co;popayan;1;0;;;;;;;;
1134709064;milena;vargas;44;milenavargas@unal.edu.co;manizales;1;0;;;;;;;;
1134709065;marina;diaz;25;marinadiaz@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134709066;samuel;torres;38;samueltorres@unal.edu.co;bogota;1;0;;;;;;;;
1134709067;luisa;ortiz;36;luisaortiz@unal.edu.co;tunja;1;0;;;;;;;;
1134709068;pedro;garcia;42;pedrogarcia@unal.edu.co;popayan;1;0;;;;;;;;
1134709069;luis;castro;32;luiscastro@unal.edu.co;medellin;1;0;;;;;;;;
1134709070;nicolas;sanchez;35;nicolassanchez@unal.edu.co;cartagena;1;0;;;;;;;;
1134709071;jose;hernandez;19;josehernandez@unal.edu.co;barranquilla;1;0;;;;;;;;
1134709072;milena;sanchez;32;milenasanchez@unal.edu.co;manizales;1;0;;;;;;;;
1134709073;jose;garcia;35;josegarcia@unal.edu.co;villavicencio;1;0;;;;;;;;
1134709074;maria;vargas;44;mariavargas@unal.edu.co;cartagena;1;0;;;;;;;;
1134709075;ana;perez;16;anaperez@unal.edu.co;villavicencio;1;0;;;;;;;;
1134709076;liliana;lopez;40;lilianalopez@unal.edu.co;bogota;1;0;;;;;;;;
1134709077;pedro;ruiz;20;pedroruiz@unal.edu.co;villavicencio;1;0;;;;;;;;
1134709078;santiago;sanchez;42;santiagosanchez@unal.edu.co;cartagena;1;0;;;;;;;;
1134709079;samuel;ramirez;16;samuelramirez@unal.edu.co;villavicencio;1;0;;;;;;;;
1134709080;jose;sanchez;16;josesanchez@unal.edu.co;medellin;1;0;;;;;;;;
1134709081;samuel;moreno;33;samuelmoreno@unal.edu.co;medellin;1;0;;;;;;;;
1134709082;maria;gomez;43;mariagomez@unal.edu.co;bogota;1;0;;;;;;;;
1134709083;juan;diaz;38;juandiaz@unal.edu.co;tunja;1;0;;;;;;;;
1134709084;pedro;torres;36;pedrotorres@unal.edu.co;bucaramanga;1;0;;;;;;;;
1134709085;susana;rodriguez;29;susanarodriguez@unal.edu.co;cartagena;1;0;;;;;;;;
1134709086;nicolas;martinez;19;nicolasmartinez@unal.edu.co;medellin;1;0;;;;;;;;
